Hourly measurement data supplied by UK-air on 10/12/2021
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"London Bexley",
Date,Time,"Nitrogen dioxide",Status
2021-03-01,01:00:00,16.02399,V ugm-3
2021-03-01,02:00:00,9.57537,V ugm-3
2021-03-01,03:00:00,7.07802,V ugm-3
2021-03-01,04:00:00,10.77325,V ugm-3
2021-03-01,05:00:00,13.11161,V ugm-3
2021-03-01,06:00:00,20.44714,V ugm-3
2021-03-01,07:00:00,29.91144,V ugm-3
2021-03-01,08:00:00,32.30156,V ugm-3
2021-03-01,09:00:00,24.96252,V ugm-3
2021-03-01,10:00:00,24.52451,V ugm-3
2021-03-01,11:00:00,16.57012,V ugm-3
2021-03-01,12:00:00,15.89376,V ugm-3
2021-03-01,13:00:00,17.91519,V ugm-3
2021-03-01,14:00:00,21.34908,V ugm-3
2021-03-01,15:00:00,22.28391,V ugm-3
2021-03-01,16:00:00,23.96603,V ugm-3
2021-03-01,17:00:00,28.19098,V ugm-3
2021-03-01,18:00:00,37.8278,V ugm-3
2021-03-01,19:00:00,36.32491,V ugm-3
2021-03-01,20:00:00,37.47125,V ugm-3
2021-03-01,21:00:00,34.7693,V ugm-3
2021-03-01,22:00:00,31.39164,V ugm-3
2021-03-01,23:00:00,27.58713,V ugm-3
2021-03-01,24:00:00,19.83084,V ugm-3
2021-03-02,01:00:00,32.59807,V ugm-3
2021-03-02,02:00:00,30.51878,V ugm-3
2021-03-02,03:00:00,25.14071,V ugm-3
2021-03-02,04:00:00,21.16536,V ugm-3
2021-03-02,05:00:00,20.69379,V ugm-3
2021-03-02,06:00:00,24.33994,V ugm-3
2021-03-02,07:00:00,25.57627,V ugm-3
2021-03-02,08:00:00,26.43651,V ugm-3
2021-03-02,09:00:00,27.67788,V ugm-3
2021-03-02,10:00:00,29.02955,V ugm-3
2021-03-02,11:00:00,29.74,V ugm-3
2021-03-02,12:00:00,28.22407,V ugm-3
2021-03-02,13:00:00,26.866,V ugm-3
2021-03-02,14:00:00,26.86297,V ugm-3
2021-03-02,15:00:00,25.61756,V ugm-3
2021-03-02,16:00:00,26.59818,V ugm-3
2021-03-02,17:00:00,33.60169,V ugm-3
2021-03-02,18:00:00,48.90573,V ugm-3
2021-03-02,19:00:00,59.50556,V ugm-3
2021-03-02,20:00:00,61.93927,V ugm-3
2021-03-02,21:00:00,55.93884,V ugm-3
2021-03-02,22:00:00,46.89746,V ugm-3
2021-03-02,23:00:00,50.7567,V ugm-3
2021-03-02,24:00:00,50.64943,V ugm-3
2021-03-03,01:00:00,47.07847,V ugm-3
2021-03-03,02:00:00,47.19674,V ugm-3
2021-03-03,03:00:00,42.43906,V ugm-3
2021-03-03,04:00:00,39.43799,V ugm-3
2021-03-03,05:00:00,38.13026,V ugm-3
2021-03-03,06:00:00,38.63396,V ugm-3
2021-03-03,07:00:00,39.26081,V ugm-3
2021-03-03,08:00:00,36.92081,V ugm-3
2021-03-03,09:00:00,36.00896,V ugm-3
2021-03-03,10:00:00,34.81224,V ugm-3
2021-03-03,11:00:00,33.72651,V ugm-3
2021-03-03,12:00:00,34.84279,V ugm-3
2021-03-03,13:00:00,37.32011,V ugm-3
2021-03-03,14:00:00,38.35145,V ugm-3
2021-03-03,15:00:00,42.6803,V ugm-3
2021-03-03,16:00:00,44.9257,V ugm-3
2021-03-03,17:00:00,45.46514,V ugm-3
2021-03-03,18:00:00,43.61455,V ugm-3
2021-03-03,19:00:00,44.56651,V ugm-3
2021-03-03,20:00:00,36.59558,V ugm-3
2021-03-03,21:00:00,28.47614,V ugm-3
2021-03-03,22:00:00,36.3626,V ugm-3
2021-03-03,23:00:00,36.57081,V ugm-3
2021-03-03,24:00:00,39.39387,V ugm-3
2021-03-04,01:00:00,31.65379,V ugm-3
2021-03-04,02:00:00,21.62723,V ugm-3
2021-03-04,03:00:00,17.3264,V ugm-3
2021-03-04,04:00:00,13.9038,V ugm-3
2021-03-04,05:00:00,13.21757,V ugm-3
2021-03-04,06:00:00,18.04232,V ugm-3
2021-03-04,07:00:00,22.27251,V ugm-3
2021-03-04,08:00:00,23.40818,V ugm-3
2021-03-04,09:00:00,18.66026,V ugm-3
2021-03-04,10:00:00,21.09341,V ugm-3
2021-03-04,11:00:00,24.17457,V ugm-3
2021-03-04,12:00:00,19.40883,V ugm-3
2021-03-04,13:00:00,17.51085,V ugm-3
2021-03-04,14:00:00,18.67399,V ugm-3
2021-03-04,15:00:00,20.88669,V ugm-3
